gap_type,item,evidence,recommendation,priority
omics_coverage,bulk_rnaseq,only 25 distinct capabilities across all 16 projects,wrap best existing implementation,medium
omics_coverage,multiomics,only 16 distinct capabilities across all 16 projects,wrap best existing implementation,medium
omics_coverage,atacseq,only 4 distinct capabilities across all 16 projects,implement natively,high
omics_coverage,spatial,only 4 distinct capabilities across all 16 projects,implement natively,high
omics_coverage,wes,only 3 distinct capabilities across all 16 projects,implement natively,high
omics_coverage,chipseq,only 1 distinct capabilities across all 16 projects,implement natively,high
architecture,provenance / replay,"No project in the set implements a capability-call provenance log with deterministic replay. ClawBio advertises reproducibility metadata but 0/98 of its skills carry a checksums or validation field in frontmatter (version 97/98, demo_data 44/98).",implement natively - the clearest unmet need,high
architecture,tool creation combined with validated skills,"Tool creation appears only in STELLA, PantheonOS, BioMedAgent, OriGene; specification-first validated skills only in ClawBio/K-Dense. No project has both.","combine: creation proposes, validation gates promotion",high
architecture,offline capability,"Only 6 of 16 projects are offline-capable (BioMedArena, Agentomics, ClawBio, AutoBA, BioMedAgent, CellAgent). Robin hard-imports edison_client in robin/configuration.py, robin/utils.py, robin/assays.py and robin/multitrajectory_runner.py.",require adapters to declare network dependence; degrade gracefully,medium
architecture,evaluation wired into the agent loop,"BioMedArena registers 155 canonical benchmarks but ships only 1 harness baseline in-repo (baselines/langgraph_react), versus 6 harnesses claimed in the paper. No other project wires evaluation into its own loop.",adopt BioMedArena (MIT) as the evaluation layer behind a stable interface,high
legal,largest tool layer is unlicensed,"670 of 2,567 catalogued capabilities (26%) sit behind NONE/NOASSERTION licenses. Contributions to that 670, counted in the deduplicated catalogue: OrigeneMCP 632, BioMedAgent 17, CRISPR-GPT 15, CellAgent 4, OriGene 2 (sum 670; 712 before cross-project deduplication). Of OrigeneMCP's 614 catalogued tools, 602 (98.0%) have an equivalent among this platform's 24 native biomedical connectors.",route those 602 tools through native connectors instead of copying OrigeneMCP code; federate the remainder by subprocess,high
legal,adapter-only capabilities overall,"621 of 670 adapter-only capabilities (93%) have a native-connector equivalent, leaving 49 that genuinely require subprocess federation - so most of the unlicensed surface is reachable without reusing upstream code.",prefer native routing; reserve subprocess federation for the remainder,medium
duplication,database query tools reimplemented,"60 capabilities are independently reimplemented across 2+ projects (query_kegg x4, query_uniprot x4, query_reactome x3, CodeExecutor x3). STELLA shares 36 exact tool names with Biomni and references Biomni in new_tools/database_tools.py.",single canonical adapter per database; treat duplicates as registry aliases,medium
