project,license,integration_mode,stars,size_mb,head_commit,n_capabilities,n_tools,n_skills,n_databases,n_datasets,n_benchmarks,n_agent_roles,loc_estimate,architecture,planning,self_correction,memory,tool_creation,offline_capable,omics_coverage,n_omics_modalities,notable_ideas
OrigeneMCP,NONE,adapter-only,38,16.7,b22913ec,671,652,0,19,0,0,0,,MCP tool server layer (no agent loop),n/a,n/a,n/a,no,False,wgs;chemistry;clinical;proteomics;multiomics,5,Largest single tool layer: 652 tools over 19 biomedical databases via MCP
Biomni,Apache-2.0,vendor,3700,4.9,400c1f36,456,224,0,43,76,0,0,,Single-agent LangGraph state machine (generate → execute → self_critic),Retrieval-augmented tool selection over a 224-tool registry,self_critic node in the state graph,conversation state,no,False,wgs;scrnaseq;chemistry;proteomics;imaging;clinical;literature;multiomics,8,Large curated biomedical action space + 76-file data lake; MCP support
K-Dense,MIT,vendor,33423,491.1,5ad4aae7,330,0,161,169,0,0,0,,No agent runtime - portable Agent Skills library consumed by any host agent,delegated to host agent,n/a,n/a,no,False,wgs;scrnaseq;chemistry;proteomics;clinical;literature;imaging;atacseq;spatial;chipseq,10,161 standardized skills + 243 data endpoints; agent-agnostic (Claude/Codex/Cursor)
BioMedArena,MIT,vendor,23,2.6,4ea206b8,236,81,0,0,0,155,0,,Evaluation harness (1 baseline: langgraph_react),n/a,n/a,context budget + tool retrieval modules,no,True,clinical;chemistry;proteomics;wgs;literature;imaging,6,155 benchmarks + 81 tools + context-management strategies; the natural evaluation layer
Agentomics,MIT,vendor,31,2.1,ae523800,224,220,0,0,0,0,4,14886,Iterative AutoML agent loop with permissioned script execution,"Propose representation + model, then train/evaluate/reflect",Reflection on validation metrics; detects overfitting and revises architecture/hyperparameters,Iteration history across AutoML rounds,no,True,bulk_rnaseq;proteomics;wgs;chemistry,4,Closed-loop AutoML with reflection; emits trained model + inference pipeline + PDF report
STELLA,Apache-2.0,vendor,148,6.9,25002958,210,208,0,0,0,0,2,25200,Manager + Critic + Tool-Creation agents over a growing tool library,Manager agent decomposes and dispatches; skill manager maintains reusable skills,Critic agent evaluates outputs; protocol evaluator engine scores runs,Skill/tool library that accumulates across tasks,"YES - dynamically discovers, wraps and creates new tools (Tool Ocean)",False,general;chemistry;proteomics;literature,4,Self-evolution: static tool library becomes a growing tool ecosystem; the single most transferable idea in the set
PantheonOS,BSD-2-Clause,vendor,479,277.3,a4d69f0a,173,0,148,0,0,0,25,,"Agent OS: PantheonTeam, Sequential, Swarm/SwarmCenter, MoA, AgentAsTool + plugin registry",Per-team pattern; distributed execution over NATS,Pantheon-Evolve evaluator loop (10-module evolution package),team state + remote store,yes (factory templates + evolve),False,scrnaseq;spatial;bulk_rnaseq;general,4,"Most engineered harness: 6 orchestration patterns, distributed executor, remote skill marketplace"
ClawBio,MIT,vendor,1100,212.1,794dd1f5,157,0,98,59,0,0,0,,No agent runtime - specification-first skill library,delegated to host agent,validated scripts instead of ad-hoc code,n/a,no,True,wgs;scrnaseq;bulk_rnaseq;proteomics;clinical;literature,6,Specification-first: LLM orchestrates validated versioned skills rather than inventing analysis code
GenoMAS,MIT,vendor,135,12.0,d6365a70,103,94,0,0,0,0,9,8519,Multi-agent with typed message passing; PI/GEO/TCGA/Statistician/CodeReviewer/DomainExpert roles over a notebook-style workflow,Role-specialized planning with task decomposition per data source,Code review agent + debug/backtrack loop over generated analysis code,Notebook-style shared workflow state,no,False,bulk_rnaseq;clinical;multiomics,3,Explicit backtracking on failed analysis steps; GEO/TCGA-specialized agents; typed inter-agent messages
AutoBA,MIT,vendor,235,37.1,a9f8f124,26,24,0,0,0,0,2,3674,Single planner agent + code executor,LLM plans a multi-step bioinformatics workflow from input data description,Retry/repair on execution failure,none explicit,no,True,bulk_rnaseq;scrnaseq;spatial;wgs;chipseq;multiomics,6,Earliest end-to-end raw-omics-to-workflow autopilot; local LLM (Ollama) + RAG support
Robin,Apache-2.0,vendor,664,263.1,4a5cce31,22,21,0,0,0,0,1,3472,Multi-agent discovery loop: literature -> hypothesis -> experiment design -> data analysis,Hypothesis-driven experiment planning across trajectories,Multi-trajectory runner compares alternative research paths,Trajectory history,no,False,literature;bulk_rnaseq;imaging,3,Closest to an autonomous AI scientist; but data-analysis stage hard-depends on the external Edison platform
BioMedAgent,NONE,adapter-only,132,6.3,74fa3f03,19,12,0,0,0,0,7,3511,Multi-agent with ToolManager + CodeExecutor + memory agents,Tool learning: reads tool documentation at runtime to compose workflows,Coding agent retry loop,Explicit memory tool/workflow/coding agents,partial - learns user-added tools from documentation,True,bulk_rnaseq;scrnaseq;multiomics,3,Tool learning from documentation rather than hard-coded call logic; user can add tools without code changes
CRISPR-GPT,NONE,adapter-only,0,1.6,01abb74d,15,14,0,0,0,0,1,1936,Planner / Executor / Tool-provider (light public version),"State-machine-driven CRISPR experiment design (knockout, activation/repression, off-target)",limited,ExecutorState,no,False,wgs;general,2,Task-decomposed experiment design with state machine; public repo is a reduced 'light' version
GeneAgent,NLM-Public-Domain,vendor,0,22.3,88fd1adb,13,12,0,0,0,0,1,1026,Single agent with self-verification against domain databases,Gene-set interpretation then claim-by-claim verification,Self-verification: each generated claim checked against an authoritative DB before being kept,none explicit,no,False,bulk_rnaseq;proteomics,2,Self-verification loop grounded in database lookups - the strongest anti-hallucination mechanism in the set
CellAgent,NONE,adapter-only,0,0.2,763050dd,5,2,0,0,0,0,3,623,Planner / Executor / Evaluator triad,Planner decomposes scRNA-seq analysis into steps,Evaluator scores each step and triggers self-reflection/retry,none explicit,no,True,scrnaseq;spatial,2,Explicit evaluator agent per step; very small codebase (623 LOC) relative to its claims
OriGene,NOASSERTION,adapter-only,219,119.5,bc984db2,2,0,0,0,0,0,2,,Self-evolving multi-agent virtual disease biologist,mechanism/target-discovery oriented,evolving evaluation,yes,partial,False,multiomics;clinical;chemistry,3,Target discovery + evidence synthesis framing
