name,kind,domain,omics_type,contributing_projects,n_projects,n_implementations,licenses,integration_mode,redistributable,signature,external_deps,source_paths,description,native_connectors,availability
Agent,agent_role,architecture,general,AutoBA,1,1,MIT,vendor,True,,,AutoBA/src/agent.py,Agent/role class in src/agent.py,,wrappable
AgentConfig,agent_role,architecture,general,Robin,1,1,Apache-2.0,vendor,True,,,Robin/robin/configuration.py,Agent/role class in robin/configuration.py,,wrappable
AgentPhD,agent_role,architecture,general,GeneAgent,1,1,NLM-Public-Domain,vendor,True,,,GeneAgent/worker.py,Agent/role class in worker.py,,wrappable
AgentScriptFailed,agent_role,architecture,general,Agentomics,1,1,MIT,vendor,True,,,Agentomics/src/agentomics/utils/exceptions.py,Agent/role class in src/agentomics/utils/exceptions.py,,wrappable
AgenticStep,agent_role,architecture,general,Agentomics,1,1,MIT,vendor,True,,,Agentomics/src/agentomics/agents/steps/base.py,Agent/role class in src/agentomics/agents/steps/base.py,,wrappable
AgenticStepOutput,agent_role,architecture,general,Agentomics,1,1,MIT,vendor,True,,,Agentomics/src/agentomics/agents/steps/base.py,Agent/role class in src/agentomics/agents/steps/base.py,,wrappable
BaseAgent,agent_role,architecture,general,BioMedAgent;GenoMAS,2,2,MIT;NONE,vendor,True,,,BioMedAgent/agent.py;GenoMAS/agents/base_agent.py,Agent/role class in agents/base_agent.py,,wrappable
BatchTaskExecutor,agent_role,architecture,general,BioMedAgent,1,1,NONE,adapter-only,False,,,BioMedAgent/server/batchtask_executor.py,Agent/role class in server/batchtask_executor.py,,needs-new-adapter
Code Evolution Team,agent_role,teams,general,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/teams/evolution_team.md,AI team for evolutionary code optimization through iterative LLM-guided mutation and evaluation.,,wrappable
CodeExecutor,agent_role,architecture,general,AutoBA;BioMedAgent;GenoMAS,3,3,MIT;NONE,vendor,True,,,AutoBA/src/executor.py;BioMedAgent/server/code_executor.py;GenoMAS/core/execution.py,Agent/role class in server/code_executor.py,,wrappable
CodeReviewerAgent,agent_role,architecture,general,GenoMAS,1,1,MIT,vendor,True,,,GenoMAS/agents/code_reviewer.py,Agent/role class in agents/code_reviewer.py,,wrappable
DomainExpertAgent,agent_role,architecture,general,GenoMAS,1,1,MIT,vendor,True,,,GenoMAS/agents/domain_expert.py,Agent/role class in agents/domain_expert.py,,wrappable
Evaluator,agent_role,architecture,general,CellAgent,1,1,NONE,adapter-only,False,,,CellAgent/src/evaluator.py,评估器类，评估生成代码和执行结果的质量。,,needs-new-adapter
Executor,agent_role,architecture,general,CellAgent,1,1,NONE,adapter-only,False,,,CellAgent/src/executor.py,执行器类，负责执行每个子任务，包括工具选择和代码生成。,,needs-new-adapter
ExecutorState,agent_role,architecture,general,CRISPR-GPT,1,1,NONE,adapter-only,False,,,CRISPR-GPT/crisprgpt/automation.py,Agent/role class in crisprgpt/automation.py,,needs-new-adapter
GEOAgent,agent_role,architecture,general,GenoMAS,1,1,MIT,vendor,True,,,GenoMAS/agents/geo_agent.py,Agent/role class in agents/geo_agent.py,mcp-omics-archives,already-available
MultiStepProgrammingAgent,agent_role,architecture,general,GenoMAS,1,1,MIT,vendor,True,,,GenoMAS/agents/multi_step_agent.py,Agent/role class in agents/multi_step_agent.py,,wrappable
PIAgent,agent_role,architecture,general,GenoMAS,1,1,MIT,vendor,True,,,GenoMAS/agents/pi_agent.py,Agent/role class in agents/pi_agent.py,,wrappable
Package Developer,agent_role,agents,general,PantheonOS,1,1,BSD-2-Clause,vendor,True,,,PantheonOS_src/pantheon/factory/templates/agents/package_developer.md,"Develops, tests, and maintains reusable Pantheon packages. Expert in ToolSet API, docstring best practices, and package structure.",mcp-genes-ontologies;mcp-protein-annotation,already-available
Planner,agent_role,architecture,general,CellAgent,1,1,NONE,adapter-only,False,,,CellAgent/src/planner.py,规划器类，负责将用户的主要任务分解为可执行的步骤。,,needs-new-adapter
ProtocolEvaluatorEngine,agent_role,architecture,general,STELLA,1,1,Apache-2.0,vendor,True,,,STELLA/new_tools/protocol_evaluator.py,Core engine for protocol evaluation.,,wrappable
